Query,Run,Time (ms)
Count Nodes,1,87.76
Count Nodes,2,77.03
Count Nodes,3,76.86
Count Nodes,4,82.21
Count Nodes,5,80.77
Count Nodes,6,80.13
Count Nodes,7,82.09
Count Nodes,8,86.11
Count Nodes,9,114.60
Count Nodes,10,87.19
Count Nodes,11,79.86
Count Nodes,12,89.27
Count Nodes,13,96.56
Count Nodes,14,108.73
Count Nodes,15,74.87
Count Nodes,16,81.73
Count Nodes,17,78.90
Count Nodes,18,79.79
Count Nodes,19,99.12
Count Nodes,20,70.95
Count Nodes,21,87.77
Count Nodes,22,85.25
Count Nodes,23,77.09
Count Nodes,24,85.97
Count Nodes,25,75.67
Count Nodes,26,78.91
Count Nodes,27,95.80
Count Nodes,28,77.26
Count Nodes,29,77.50
Count Nodes,30,78.83
Count Nodes,31,81.66
Count Nodes,32,93.54
Count Nodes,33,86.99
Count Nodes,34,94.53
Count Nodes,35,96.76
Count Nodes,36,96.42
Count Nodes,37,77.67
Count Nodes,38,89.92
Count Nodes,39,73.77
Count Nodes,40,79.81
Count Nodes,41,82.90
Count Nodes,42,77.94
Count Nodes,43,78.78
Count Nodes,44,123.18
Count Nodes,45,83.63
Count Nodes,46,90.49
Count Nodes,47,82.47
Count Nodes,48,80.16
Count Nodes,49,81.24
Count Nodes,50,97.31
Count Nodes,51,150.29
Count Nodes,52,82.85
Count Nodes,53,77.87
Count Nodes,54,88.95
Count Nodes,55,81.40
Count Nodes,56,79.50
Count Nodes,57,85.98
Count Nodes,58,77.57
Count Nodes,59,77.00
Count Nodes,60,89.50
Count Nodes,61,95.81
Count Nodes,62,77.44
Count Nodes,63,79.37
Count Nodes,64,138.11
Count Nodes,65,79.13
Count Nodes,66,88.24
Count Nodes,67,75.58
Count Nodes,68,94.07
Count Nodes,69,73.55
Count Nodes,70,79.38
Count Nodes,71,79.59
Count Nodes,72,80.60
Count Nodes,73,80.47
Count Nodes,74,87.39
Count Nodes,75,72.84
Count Nodes,76,79.16
Count Nodes,77,80.18
Count Nodes,78,80.14
Count Nodes,79,86.16
Count Nodes,80,73.40
Count Nodes,81,80.20
Count Nodes,82,78.89
Count Nodes,83,90.66
Count Nodes,84,80.19
Count Nodes,85,87.78
Count Nodes,86,78.03
Count Nodes,87,83.21
Count Nodes,88,80.83
Count Nodes,89,94.78
Count Nodes,90,86.87
Count Nodes,91,87.13
Count Nodes,92,100.04
Count Nodes,93,81.47
Count Nodes,94,79.48
Count Nodes,95,88.70
Count Nodes,96,113.18
Count Nodes,97,86.15
Count Nodes,98,102.39
Count Nodes,99,89.78
Count Nodes,100,89.91
Point Lookup,1,107.79
Point Lookup,2,100.59
Point Lookup,3,94.67
Point Lookup,4,105.16
Point Lookup,5,76.65
Point Lookup,6,88.36
Point Lookup,7,108.82
Point Lookup,8,97.36
Point Lookup,9,96.79
Point Lookup,10,98.33
Point Lookup,11,98.25
Point Lookup,12,95.49
Point Lookup,13,112.03
Point Lookup,14,96.90
Point Lookup,15,115.46
Point Lookup,16,101.83
Point Lookup,17,98.25
Point Lookup,18,103.56
Point Lookup,19,99.81
Point Lookup,20,97.01
Point Lookup,21,98.80
Point Lookup,22,93.22
Point Lookup,23,97.03
Point Lookup,24,105.81
Point Lookup,25,93.34
Point Lookup,26,90.86
Point Lookup,27,91.84
Point Lookup,28,107.47
Point Lookup,29,103.39
Point Lookup,30,99.83
Point Lookup,31,100.77
Point Lookup,32,97.94
Point Lookup,33,101.27
Point Lookup,34,100.44
Point Lookup,35,105.42
Point Lookup,36,93.46
Point Lookup,37,103.58
Point Lookup,38,107.05
Point Lookup,39,97.33
Point Lookup,40,92.81
Point Lookup,41,99.48
Point Lookup,42,97.95
Point Lookup,43,101.23
Point Lookup,44,99.88
Point Lookup,45,89.84
Point Lookup,46,101.04
Point Lookup,47,102.62
Point Lookup,48,102.65
Point Lookup,49,102.63
Point Lookup,50,92.35
Point Lookup,51,100.06
Point Lookup,52,153.90
Point Lookup,53,93.73
Point Lookup,54,94.23
Point Lookup,55,94.85
Point Lookup,56,91.26
Point Lookup,57,89.12
Point Lookup,58,109.54
Point Lookup,59,94.64
Point Lookup,60,97.55
Point Lookup,61,107.22
Point Lookup,62,92.02
Point Lookup,63,107.21
Point Lookup,64,110.60
Point Lookup,65,97.68
Point Lookup,66,118.66
Point Lookup,67,104.14
Point Lookup,68,120.82
Point Lookup,69,97.42
Point Lookup,70,100.75
Point Lookup,71,100.42
Point Lookup,72,95.63
Point Lookup,73,99.47
Point Lookup,74,96.73
Point Lookup,75,90.36
Point Lookup,76,92.31
Point Lookup,77,96.81
Point Lookup,78,91.64
Point Lookup,79,103.21
Point Lookup,80,99.18
Point Lookup,81,103.24
Point Lookup,82,105.20
Point Lookup,83,116.75
Point Lookup,84,100.56
Point Lookup,85,100.07
Point Lookup,86,121.71
Point Lookup,87,100.85
Point Lookup,88,99.20
Point Lookup,89,111.61
Point Lookup,90,115.65
Point Lookup,91,101.76
Point Lookup,92,502.33
Point Lookup,93,99.64
Point Lookup,94,105.91
Point Lookup,95,109.04
Point Lookup,96,117.25
Point Lookup,97,109.31
Point Lookup,98,106.02
Point Lookup,99,93.69
Point Lookup,100,114.79
1-Hop Traversal,1,118.97
1-Hop Traversal,2,108.15
1-Hop Traversal,3,137.06
1-Hop Traversal,4,116.39
1-Hop Traversal,5,101.91
1-Hop Traversal,6,100.22
1-Hop Traversal,7,94.84
1-Hop Traversal,8,101.05
1-Hop Traversal,9,91.95
1-Hop Traversal,10,133.36
1-Hop Traversal,11,112.25
1-Hop Traversal,12,114.63
1-Hop Traversal,13,110.23
1-Hop Traversal,14,89.20
1-Hop Traversal,15,104.02
1-Hop Traversal,16,105.89
1-Hop Traversal,17,93.14
1-Hop Traversal,18,98.90
1-Hop Traversal,19,114.11
1-Hop Traversal,20,94.59
1-Hop Traversal,21,105.16
1-Hop Traversal,22,105.34
1-Hop Traversal,23,101.56
1-Hop Traversal,24,102.55
1-Hop Traversal,25,96.81
1-Hop Traversal,26,96.41
1-Hop Traversal,27,94.19
1-Hop Traversal,28,165.16
1-Hop Traversal,29,94.00
1-Hop Traversal,30,111.05
1-Hop Traversal,31,100.12
1-Hop Traversal,32,97.21
1-Hop Traversal,33,108.56
